source_reference_short,chemical_name,medium,subcategory,location,country_or_region,sampling_year_or_period,time_period_group,min_concentration,max_concentration,mean_concentration,median_concentration,concentration_unit,notes
"Jordan and Frank, 1999",TFA,surface water,"rivers, streams",Germany,Germany,1995-1996,pre_2010,60,280,140,,ng/L,
"Pickard, 2020",TFA,ice,,Canada (Mt. Oxford Icefield),Canada,2016-2010,post_2010,29,148,90.6,,ng/L,
"Jordan and Frank, 1999",TFA,surface water,"rivers, streams",Finland,Finland,1995-1996,pre_2010,210,210,210,,ng/L,
"Pickard, 2020",TFA,ice,,Canada (Devon Ice Cap),Canada,1977-2009,post_2010,4.24,103.75,24.55,,ng/L,
"Jordan and Frank, 1999",TFA,surface water,"rivers, streams","Siberia, Russia",Russia,1995-1996,pre_2010,40,40,40,,ng/L,
"Pickard, 2020",TFA,ice,,Canada (Mt. Oxford Icefield),Canada,1967-2009,post_2010,<0.37,104,16.16,,ng/L,reported as <0.37
"Jordan and Frank, 1999",TFA,surface water,"rivers, streams",South Africa,South Africa,1995-1996,pre_2010,100,500,,,ng/L,
"Wujcik, 1999",TFA,surface water,"rivers, streams","Nevada, USA",USA,1996-1997,pre_2010,12.8,154,,,ng/L,
"Wujcik, 1999",TFA,surface water,"rivers, streams","Nevada, USA",USA,1996-1997,pre_2010,314,472,,,ng/L,
"Bjornsdotter, 2019",TFA,groundwater,,Sweden,Sweden,"2017, 2018",post_2010,<34,120,,,ng/L,reported as <34; multiple years
"Berg, 2000",TFA,surface water,"rivers, streams",Switzerland,Switzerland,1996-1997,pre_2010,12,328,87,,ng/L,
"Janda, 2019",TFA,groundwater,,Germany,Germany,2019,post_2010,640,7500,640-2300,,ng/L,
"Scott, 2002",TFA,surface water,"rivers, streams","USA, Canada (Great Lakes area)","USA, Canada",1998,pre_2010,51,99,77.25,,ng/L,
"Neuwald, 2021",TFA,groundwater,,Germany,Germany,2020,post_2010,800,10700,5720,7000,ng/L,
"Zhang, 2005",TFA,surface water,"rivers, streams",China (excluding Beijing),China,2001,pre_2010,10.2,221,56.6,,ng/L,
"Zhai, 2015",TFA,drinking water,,China (Beijing),China,2012,post_2010,148,162,155,,ng/L,
"Jordan and Frank, 1999",TFA,surface water,"lakes, ponds",South Africa,South Africa,1995-1996,pre_2010,40,40,40,,ng/L,
"Janda, 2019",TFA,drinking water,,Germany,Germany,2019,post_2010,430,11000,430-990,,ng/L,
"Wujcik, 1999",TFA,surface water,"lakes, ponds","Nevada, USA",USA,1996-1997,pre_2010,77.1,95.1,,,ng/L,
"Xie, 2020",TFA,drinking water,,China,China,2016,post_2010,341,355,348,,ng/L,
"Wujcik, 1999",TFA,surface water,"lakes, ponds","California, USA",USA,1996-1997,pre_2010,50.1,227,,,ng/L,
"Scheurer and Nodler, 2021",TFA,drinking water,,Germany,Germany,2020***,post_2010,,,,310,ng/L,
"Berg, 2000",TFA,surface water,"lakes, ponds",Switzerland,Switzerland,1996-1997,pre_2010,37,204,119,,ng/L,
"Scheurer and Nodler, 2021",TFA,drinking water,,Other countries (19),Other countries,2020***,post_2010,,,,230,ng/L,
"Berg, 2000",TFA,surface water,"lakes, ponds",Switzerland,Switzerland,1996-1998,pre_2010,46,360,141,,ng/L,
"Neuwald, 2021",TFA,drinking water,,Germany,Germany,2020,post_2010,400,12400,,900,ng/L,
"Cahill, 2001",TFA,surface water,"lakes, ponds","California, USA",USA,1998,pre_2010,86,1043,257.25,,ng/L,
"Neuwald, 2021",TFA,drinking water,,Germany,Germany,2020,post_2010,400,4200,1929,1500,ng/L,
"Scott, 2002",TFA,surface water,"lakes, ponds","USA, Canada (Lake Superior)","USA, Canada","1998, 2000",pre_2010,,,18,,ng/L,
"Zheng, 2023",TFA,drinking water,,USA (Indiana),USA,2020,post_2010,n.d.,210,,79,ng/L,reported as n.d.
"Scott, 2002",TFA,surface water,"lakes, ponds","USA, Canada (Lake Ontario)","USA, Canada","1998, 2000",pre_2010,,,150,,ng/L,
"Scott, 2002",TFA,surface water,"lakes, ponds",Malawi,Malawi,1998,pre_2010,1,5,,,ng/L,
"Zhang, 2005",TFA,surface water,"lakes, ponds",China (Beijing),China,2001,pre_2010,23,138,111.3,,ng/L,
"Scheurer and Nodler, 2021",TFA,beverages,,"Germany, other countries",other countries,2020**,post_2010,390,13000,,2400,ng/L,
"Zhang, 2005",TFA,surface water,"lakes, ponds",China (excluding Beijing),China,2001,pre_2010,6.8,80,33.4,,ng/L,
"Scheurer and Nodler, 2021",TFA,beverages,,"Germany, other countries (21)","Germany, other countries",2020**,post_2010,500,51000,,6100,ng/L,
"Jordan and Frank, 1999",TFA,surface water,oceans,1995-1996,1995-1996,1995-1996,pre_2010,70,70,70,,ng/L,
"Scheurer, 2017",TFA,waste water,,Germany,Germany,"2016, 2017",post_2010,570,1300,,,ng/L,multiple years
"Jordan and Frank, 1999",TFA,surface water,oceans,1995-1996,1995-1996,1995-1996,pre_2010,250,250,250,,ng/L,
"Wang, 2020",TFA,waste water,,China (Tianjin),China,2016,post_2010,2600,38000,15867,,ng/L,
"Jordan and Frank, 1999",TFA,surface water,oceans,1995-1996,1995-1996,1995-1996,pre_2010,160,160,160,,ng/L,
"Bjornsdotter, 2022",TFA,waste water,,Sweden,Sweden,2019,post_2010,110,200,155,,ng/L,
"Jordan and Frank, 1999",TFA,surface water,oceans,1995-1996,1995-1996,1995-1996,pre_2010,200,200,200,,ng/L,
"Bjornsdotter, 2022",TFA,waste water,,Sweden,Sweden,2019,post_2010,33,51,41,,ng/L,
"Frank, 2002",TFA,surface water,oceans,1998,1998,1998,pre_2010,190,210,200,,ng/L,
"Bjornsdotter, 2019",TFA,landfill leachate,,Sweden,Sweden,"2017, 2018",post_2010,<34,6900,2400,1200,ng/L,reported as <34; multiple years
"von Sydow, 2000",TFA,ice,,1996,1996,1996,pre_2010,5,5,5,,ng/L,
"Wang, 2020",TFA,landfill leachate,,China (Tianjin),China,2016,post_2010,3300,57000,25883,,ng/L,
"von Sydow, 2000",TFA,ice,,1996-1997,1996-1997,1996-1997,pre_2010,6,56,25,,ng/L,
"Tsou, 2023",TFA,landfill leachate,,USA (California),USA,2021,post_2010,43272,259554,95687.6,71150.3,ng/L,
"Nielsen, 2001",TFA,ice,,pre-industrial (> 4000 years old),pre-industrial,pre-industrial (> 4000 years old),pre_2010,n.d.,n.d.,n.d.,,ng/L,reported as n.d.
"Pickard, 2020",TFA,ice,,1977-2009,1977-2009,1977-2009,pre_2010,4.24,103.75,24.55,,ng/L,
"Pickard, 2020",TFA,ice,,1967-2009,1967-2009,1967-2009,pre_2010,<0.37,104,16.16,,ng/L,reported as <0.37
"Guo, 2017",TFA,air,gas and particles,China (Beijing),China,"2013, 2014",post_2010,,6317,1459,,pg/m3,
"Chen, 2018",TFA,air,gas and particles,China (Fuxin),China,2016,post_2010,19000,170000,48875,,pg/m3,
"Fang, 2018",TFA,air,gas and particles,Bohai and Yellow Seas,Bohai and Yellow Seas,2016,post_2010,11,270,120,,pg/m3,
"Jordan and Frank, 1999",TFA,groundwater,,1995-1996,1995-1996,1995-1996,pre_2010,70,320,142,,ng/L,
"Tian, 2018",TFA,air,gas and particles,China,China,2016,post_2010,1400,3000,,,pg/m3,
"Nielsen, 2001",TFA,groundwater,,pre-industrial (> 2000 years old),pre-industrial,pre-industrial (> 2000 years old),pre_2010,n.d.,n.d.,n.d.,,ng/L,reported as n.d.
"Zhang, 2018",TFA,air,gas and particles,China (Beijing),China,2013-2014,post_2010,,,1459,,pg/m3,
