row_id,record_id,title,original_doi,resolved_doi,doi_source,download_status,download_target,url_candidates,notes
DOI0433,REF0449,Carcinogenic Risk Assessment of Trihalomethanes in Major Drinking Water Sources of Baghdad City,,10.1134/s0097807818050202,crossref,downloaded_invalid_pdf,https://doi.org/10.1134/s0097807818050202,,"Downloader saved a file, but pdfinfo could not parse it as a valid PDF. | pdfinfo: Syntax Warning: May not be a PDF file (continuing anyway) Syntax Error (2): Illegal character <21> in hex string Syntax Error (4): Illegal character <4f> in hex string Syntax Error (6): Illegal character <54> in hex string Syntax Error (7): Illegal character <59> in hex string Syntax Error (8): Illegal character <50> in hex string Syntax Error (11): Illegal character <68> in hex string Syntax Error (12): Illegal character <74> in hex string Syntax Error (13): Illegal character <6d> in hex string Syntax Error (14): Illegal character <6c> in hex string Syntax Error (18): Illegal character <68> in hex string Syntax Error (19): Illegal character <74> in hex string Syntax Error (20): Illegal character <6d> in hex string Syntax Error (21): Illegal character <6c> in hex string Syntax Error (23): Illegal character <6c> in hex string Syntax Error (25): Illegal character <6e> in hex string Syntax Error (26): Illegal character <67> in hex string Syntax Error (27): Illegal character <3d> in hex string Syntax Error (28): Illegal character <22> in hex string Syntax Error (30): Illegal character <6e> in hex string Syntax Error (31): Illegal character <22> in hex string Syntax Error (34): Illegal character <6c> in hex string Syntax Error (36): Illegal character <73> in hex string Syntax Error (37): Illegal character <73> in hex string Syntax Error (38): Illegal character <3d> in hex string Syntax Error (39): Illegal character <22> in hex string Syntax Error (40): Illegal character <6e> in hex string Syntax Error (41): Illegal character <6f> in hex string Syntax Error (42): Illegal character <2d> in hex string Syntax Error (43): Illegal character <6a> in hex string Syntax Error (44): Illegal character <73> in hex string Syntax Error (45): Illegal character <22> in hex string Syntax Error (53): Illegal character <68> in hex string Syntax Error (68): Illegal character <6d> in hex string Syntax Error (70): Illegal character <74> in hex string Syntax Error (74): Illegal character <68> in hex string Syntax Error (76): Illegal character <72> in hex string Syntax Error (77): Illegal character <73> in hex string Syntax Error (79): Illegal character <74> in hex string Syntax Error (80): Illegal character <3d> in hex string Syntax Error (81): Illegal character <22> in hex string Syntax Error (82): Illegal character <55> in hex string Syntax Error (83): Illegal character <54> in hex string Syntax Error (85): Illegal character <2d> in hex string Syntax Error (87): Illegal character <22> in hex string Syntax Error (99): Illegal character <6d> in hex string Syntax Error (101): Illegal character <74> in hex string Syntax Error (104): Illegal character <68> in hex string Syntax Error (105): Illegal character <74> in hex string Syntax Error (106): Illegal character <74> in hex string Syntax Error (107): Illegal character <70> in hex string Syntax Error (108): Illegal character <2d> in hex string Syntax Error (110): Illegal character <71> in hex string Syntax Error (111): Illegal character <75> in hex string Syntax Error (112): Illegal character <69> in hex string Syntax Error (113): Illegal character <76> in hex string Syntax Error (114): Illegal character <3d> in hex string Syntax Error (115): Illegal character <22> in hex string Syntax Error (116): Illegal character <58> in hex string Syntax Error (117): Illegal character <2d> in hex string Syntax Error (118): Illegal character <55> in hex string Syntax Error (120): Illegal character <2d> in hex string Syntax Error (122): Illegal character <6f> in hex string Syntax Error (123): Illegal character <6d> in hex string Syntax Error (124): Illegal character <70> in hex string Syntax Error (126): Illegal character <74> in hex string Syntax Error (127): Illegal character <69> in hex string Syntax Error (129): Illegal character <6c> in hex string Syntax Error (131): Illegal character <22> in hex string Syntax Error (134): Illegal character <6f> in hex string Syntax Error (135): Illegal character <6e> in hex string Syntax Error (136): Illegal character <74> in hex string Syntax Error (138): Illegal character <6e> in hex string Syntax Error (139): Illegal character <74> in hex string Syntax Error (140): Illegal character <3d> in hex string Syntax Error (141): Illegal character <22> in hex string Syntax Error (142): Illegal character <49> in hex string Syntax Error (144): Illegal character <3d> in hex string Syntax Error (147): Illegal character <67> in hex string Syntax Error (149): Illegal character <22> in hex string Syntax Error (161): Illegal character <6d> in hex string Syntax Error (163): Illegal character <74> in hex string Syntax Error (166): Illegal character <6e> in hex string Syntax Error (168): Illegal character <6d> in hex string Syntax Error (170): Illegal character <3d> in hex string Syntax Error (171): Illegal character <22> in hex string Syntax Error (173): Illegal character <70> in hex string Syntax Error (174): Illegal character <70> in hex string Syntax Error (175): Illegal character <6c> in hex string Syntax Error (176): Illegal character <69> in hex string Syntax Error (180): Illegal character <6c> in hex string Syntax Error (182): Illegal character <2d> in hex string Syntax Error (185): Illegal character <76> in hex string Syntax Error (186): Illegal character <69> in hex string Syntax Error (189): Illegal character <22> in hex string Syntax Error (192): Illegal character <6f> in hex string Syntax Error (193): Illegal character <6e> in hex string Syntax Error (194): Illegal character <74> in hex string Syntax Error (196): Illegal character <6e> in hex string Syntax Error (197): Illegal character <74> in hex string Syntax Error (198): Illegal character <3d> in hex string Syntax Error (199): Illegal character <22> in hex string Syntax Error (200): Illegal character <70> in hex string Syntax Error (202): Illegal character <2c> in hex string Syntax Error (203): Illegal character <6d> in hex string Syntax Error (204): Illegal character <6f> in hex string Syntax Error (206): Illegal character <69> in hex string Syntax Error (207): Illegal character <6c> in hex string Syntax Error (209): Illegal character <22> in hex string Syntax Error: Couldn't find trailer dictionary Syntax Error: Couldn't find trailer dictionary Syntax Error: Couldn't read xref table"
DOI0490,REF0509,Comparison of two validated gas-chromatographic methods for the determination of trihalomethanes in drinking water,,10.1590/s1516-93322003000200010,crossref,downloaded_invalid_pdf,https://doi.org/10.1590/s1516-93322003000200010,,"Downloader saved a file, but pdfinfo could not parse it as a valid PDF. | pdfinfo: Syntax Warning: May not be a PDF file (continuing anyway) Syntax Error (2): Illegal character <21> in hex string Syntax Error (4): Illegal character <4f> in hex string Syntax Error (6): Illegal character <54> in hex string Syntax Error (7): Illegal character <59> in hex string Syntax Error (8): Illegal character <50> in hex string Syntax Error (11): Illegal character <68> in hex string Syntax Error (12): Illegal character <74> in hex string Syntax Error (13): Illegal character <6d> in hex string Syntax Error (14): Illegal character <6c> in hex string Syntax Error (18): Illegal character <68> in hex string Syntax Error (19): Illegal character <74> in hex string Syntax Error (20): Illegal character <6d> in hex string Syntax Error (21): Illegal character <6c> in hex string Syntax Error (25): Illegal character <68> in hex string Syntax Error (36): Illegal character <74> in hex string Syntax Error (37): Illegal character <69> in hex string Syntax Error (38): Illegal character <74> in hex string Syntax Error (39): Illegal character <6c> in hex string Syntax Error: Couldn't find trailer dictionary Syntax Error: Couldn't find trailer dictionary Syntax Error: Couldn't read xref table"
