row_id,record_id,title,original_doi,resolved_doi,doi_source,download_target,download_status,download_attempted,download_dir,pdf_count,primary_pdf,primary_pdf_pages,one_page_pdf,all_pdfs,url_candidates,notes
DOI0746,REF0596,"[Executive Decree No. 11-125 of 17 Rabie Ethani 1432 corresponding to 22 March 2011 relating to the quality of water for human consumption.] ""Dècret exècutif n 11-125 du 17 Rabie Ethani 1432 correspondant au 22 mars 2011 relatif à la qualitè de l'eau de consommation humaine""",,,,,no_resolved_doi,no,,0,,,,,https://gazettes.africa/archive/dz/2011/dz-government-gazette-dated-2011-03-23-no-18.pdf; https://tinyurl.com/3ap9eeaa,No DOI available for auto-paper-harvester API download.
DOI0747,REF0597,[Regulation on the Quality of Water for Human Consumption 2004] Regulamento sobre a Qualidade da Água para o Consumo Humano 2004,,,,,no_resolved_doi,no,,0,,,,,https://gazettes.africa/archive/mz/2004/mz-government-gazette-series-i-dated-2004-09-15-no-37.pdf; https://tinyurl.com/3y2dh93p,No DOI available for auto-paper-harvester API download.
DOI0748,REF0598,[Regulation of the Minister of Health of 7 December 2017 on the quality of water intended for human consumptio] Rozporządzenie Ministra Zdrowia z dnia 7 grudnia 2017 r. w sprawie jakości wody przeznaczonej do spożycia przez ludzi,,,,,no_resolved_doi,no,,0,,,,,https://isap.sejm.gov.pl/isap.nsf/download.xsp/WDU20170002294/O/D20172294.pdf; https://tinyurl.com/34krr848; http://extwprlegs1.fao.org/docs/pdf/pol113702.pdf,No DOI available for auto-paper-harvester API download.
DOI0749,REF0599,"ISIRI 1053, 5th.revision, Institute of Standards and Industrial Research of Iran. Drinking water -Physical and chemical specifications 2010",,,,,no_resolved_doi,no,,0,,,,,https://leap.unep.org/countries/ir/national-legislation/iran-water-law-and-methods-nationalization-water,No DOI available for auto-paper-harvester API download.
DOI0750,REF0600,[Law no. 458/2002 regarding the quality of drinking water] Legea nr. 458/2002 privind calitatea apei potabile,,,,,no_resolved_doi,no,,0,,,,,https://lege5.ro/Gratuit/gi3dinzzgi/legea-nr-458-2002-privind-calitatea-apei-potabile?d=03.11.2022; https://tinyurl.com/42rna8c3,No DOI available for auto-paper-harvester API download.
DOI0751,REF0601,Samoa National Drinking Water Standards 2008,,,,,no_resolved_doi,no,,0,,,,,https://library.sprep.org/content/samoa-national-drinking-water-standards-2008; https://tinyurl.com/56bxnue8,No DOI available for auto-paper-harvester API download.
DOI0752,REF0602,[FOR-2016-12-22-1868 Regulations on water supply and drinking water (drinking water regulations)] FOR-2016-12-22-1868 Forskrift om vannforsyning og drikkevann (drikkevannsforskriften),,,,,no_resolved_doi,no,,0,,,,,https://lovdata.no/dokument/SF/forskrift/2016-12-22-1868; https://tinyurl.com/2p8dv6am,No DOI available for auto-paper-harvester API download.
DOI0753,REF0603,"GOST 2874-82 * ""Drinking water. Hygienic requirements and quality control » [ГОСТ 2874-82* «Вода питьевая. Гигиенические требования и контроль за качеством»]",,,,,no_resolved_doi,no,,0,,,,,https://ohranatruda.ru/ot_biblio/norma/220583/; https://tinyurl.com/2chnwb33; http://extwprlegs1.fao.org/docs/texts/kaz82120.doc,No DOI available for auto-paper-harvester API download.
DOI0754,REF0604,Sri Lanka Standard SPECIFICATION FOR POTABLE WATER SLS 614:2013,,,,,no_resolved_doi,no,,0,,,,,https://pdfcoffee.com/sls-614-pdf-free.html; https://tinyurl.com/muhp9x77,No DOI available for auto-paper-harvester API download.
DOI0755,REF0607,Nigerian Standard for Drinking Water Quality NIS 554: 2015,,,,,no_resolved_doi,no,,0,,,,,https://rivwamis.riversstate.gov.ng/assets/files/Nigerian-Standard-for-Drinking-Water-Quality-NIS-554-2015.pdf; https://tinyurl.com/e7c8rx8s,No DOI available for auto-paper-harvester API download.
DOI0756,REF0609,[Regulation of the Minister of Health on drinking water quality requirements.] Nomor 492/Menkes/Per/IV/2010,,,,,no_resolved_doi,no,,0,,,,,https://stunting.go.id/sdm_downloads/permenkes-no-492-tahun-2010-tentang-persyaratan-kualitas-air-minum/; https://tinyurl.com/5h7m2heu,No DOI available for auto-paper-harvester API download.
DOI0757,REF0610,[Moroccan Norm NM 03.7.001 Quality of human drinking water 2006] Norm Marocaine NM 03.7.001 Qualité des eaux d'alimentation humane 2006,,,,,no_resolved_doi,no,,0,,,,,https://toaz.info/doc-view; https://tinyurl.com/2j5h9ytt,No DOI available for auto-paper-harvester API download.
DOI0758,REF0611,[Drinking water decree] Drinkwaterbesluit Geldend van 01-07-2022 t/m heden,,,,,no_resolved_doi,no,,0,,,,,https://wetten.overheid.nl/BWBR0030111/2022-07-01; https://tinyurl.com/4zk469b2,No DOI available for auto-paper-harvester API download.
DOI0759,REF0612,"Reglamento Técnico DGNT-COPANIT 23-395-99 Agua, Agua Potable Definiciones y Requistos Generales",,,,,no_resolved_doi,no,,0,,,,,https://www.asep.gob.pa/wp-content/uploads/agua/legislacion/dgnti_23-395.pdf; https://tinyurl.com/5n7eyhvp,No DOI available for auto-paper-harvester API download.
DOI0760,REF0613,Ley nº 1614 / general del marco regulatorio y tarifario del servicio público de provisión de agua potable y alcantarillado sanitario para la republica del paragua,,,,,no_resolved_doi,no,,0,,,,,https://www.bacn.gov.py/leyes-paraguayas/1694/ley-n-1614-general-del-marco-regulatorio-y-tarifario-del-servicio-publico-de-provision-de-agua-potable-y-alcantarillado-sanitario-para-la-republica-del-paraguay; https://tinyurl.com/4kyr2eah; http://redrural.org.py/biblioteca/wp-content/uploads/2014/03/LEY_1614-2000-_Servicios_de_agua_y_alcantarillado.pdf,No DOI available for auto-paper-harvester API download.
DOI0761,REF0614,Drinking water Standards 2008,,,,,no_resolved_doi,no,,0,,,,,https://www.bebuffered.com/downloads/TechGuidelinesforImprovedconstructionandmanagementofHafir_2009.pdf; http://applications.emro.who.int/dsaf/dsa1183.pdf,No DOI available for auto-paper-harvester API download.
DOI0762,REF0615,"[Royal Decree 140/2003, of February 7, which establishes the health criteria for the quality of water for human consumption.] Real Decreto 140/2003, de 7 de febrero, por el que se establecen los criterios sanitarios de la calidad del agua de consumo humano.",,,,,no_resolved_doi,no,,0,,,,,https://www.boe.es/buscar/act.php?id=BOE-A-2003-3596; https://tinyurl.com/5ah9927z,No DOI available for auto-paper-harvester API download.
DOI0763,REF0616,[ORDINANCE ON THE QUALITY OF WATER INTENDED FOR HUMAN CONSUMPTION] Verordnung über die Qualität von Wasser für den menschlichen Gebrauch (Trinkwasserverordnung – TrinkwV 2001),,,,,no_resolved_doi,no,,0,,,,,https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/E/Englische_Dateien/Drinking_Water_Ordinance.pdf; https://tinyurl.com/95en675d,No DOI available for auto-paper-harvester API download.
